,Item,ServingSize,Calories,CaloriesFromFat,TotalFat,TF%OfDailyValue,SaturatedFat,SF%OfDailyValue,TransFat,Cholesterol,Chol%OfDailyValue,Sodium,S%OfDailyValue,Carbohydrates,Carb%OfDailyValue,DietaryFiber,Fiber%OfDailyValue,Sugar,Protien,%VitaminA,%VitaminC,%Calcium,%Iron,Category_Beef & Pork,Category_Beverages,Category_Breakfast,Category_Chicken & Fish,Category_Coffee & Tea,Category_Desserts,Category_Salads,Category_Smoothies & Shakes,Category_Snacks & Sides,Resturant_InNOut,Resturant_McDonalds,Resturant_RedRobin
0,Egg McMuffin,4.8 oz (136 g),300.0,120.0,13.0,20.0,5.0,25.0,0.0,260.0,87.0,750.0,31.0,31.0,10.0,4.0,17.0,3.0,17.0,10.0,0.0,25.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
1,Egg White Delight,4.8 oz (135 g),250.0,70.0,8.0,12.0,3.0,15.0,0.0,25.0,8.0,770.0,32.0,30.0,10.0,4.0,17.0,3.0,18.0,6.0,0.0,25.0,8.0,0,0,1,0,0,0,0,0,0,0,1,0
2,Sausage McMuffin,3.9 oz (111 g),370.0,200.0,23.0,35.0,8.0,42.0,0.0,45.0,15.0,780.0,33.0,29.0,10.0,4.0,17.0,2.0,14.0,8.0,0.0,25.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
3,Sausage McMuffin with Egg,5.7 oz (161 g),450.0,250.0,28.0,43.0,10.0,52.0,0.0,285.0,95.0,860.0,36.0,30.0,10.0,4.0,17.0,2.0,21.0,15.0,0.0,30.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
4,Sausage McMuffin with Egg Whites,5.7 oz (161 g),400.0,210.0,23.0,35.0,8.0,42.0,0.0,50.0,16.0,880.0,37.0,30.0,10.0,4.0,17.0,2.0,21.0,6.0,0.0,25.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
5,Steak & Egg McMuffin,6.5 oz (185 g),430.0,210.0,23.0,36.0,9.0,46.0,1.0,300.0,100.0,960.0,40.0,31.0,10.0,4.0,18.0,3.0,26.0,15.0,2.0,30.0,20.0,0,0,1,0,0,0,0,0,0,0,1,0
6,"Bacon, Egg & Cheese Biscuit (Regular Biscuit)",5.3 oz (150 g),460.0,230.0,26.0,40.0,13.0,65.0,0.0,250.0,83.0,1300.0,54.0,38.0,13.0,2.0,7.0,3.0,19.0,10.0,8.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
7,"Bacon, Egg & Cheese Biscuit (Large Biscuit)",5.8 oz (164 g),520.0,270.0,30.0,47.0,14.0,68.0,0.0,250.0,83.0,1410.0,59.0,43.0,14.0,3.0,12.0,4.0,19.0,15.0,8.0,20.0,20.0,0,0,1,0,0,0,0,0,0,0,1,0
8,"Bacon, Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)",5.4 oz (153 g),410.0,180.0,20.0,32.0,11.0,56.0,0.0,35.0,11.0,1300.0,54.0,36.0,12.0,2.0,7.0,3.0,20.0,2.0,8.0,15.0,10.0,0,0,1,0,0,0,0,0,0,0,1,0
9,"Bacon, Egg & Cheese Biscuit with Egg Whites (Large Biscuit)",5.9 oz (167 g),470.0,220.0,25.0,38.0,12.0,59.0,0.0,35.0,11.0,1420.0,59.0,42.0,14.0,3.0,12.0,4.0,20.0,6.0,8.0,15.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
10,Sausage Biscuit (Regular Biscuit),4.1 oz (117 g),430.0,240.0,27.0,42.0,12.0,62.0,0.0,30.0,10.0,1080.0,45.0,34.0,11.0,2.0,6.0,2.0,11.0,0.0,0.0,6.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
11,Sausage Biscuit (Large Biscuit),4.6 oz (131 g),480.0,280.0,31.0,48.0,13.0,65.0,0.0,30.0,10.0,1190.0,50.0,39.0,13.0,3.0,11.0,3.0,11.0,4.0,0.0,8.0,15.0,0,0,1,0,0,0,0,0,0,0,1,0
